developer,game_count,avg_positive_ratio,total_owners,best_game,total_owners_M
"BUCK, Antfood",1,95.0,150000.0,7154,0.15
BUGBEAR,1,60.9,350000.0,5289,0.35
BULKHEAD,3,71.1,2000000.0,1139,2.0
BYKING,1,88.0,150000.0,9049,0.15
BYU Animation -  Class of 2017,1,75.0,150000.0,6721,0.15
Baba Nura,1,86.6,150000.0,8858,0.15
Baba Yaga Games,2,85.8,700000.0,4805,0.7
Baby Robot Games,1,88.4,150000.0,7885,0.15
Back To Basics Gaming,1,64.3,1500000.0,1402,1.5
Bacus Studios,1,38.3,150000.0,7990,0.15
Bad Pixel,2,67.6,1100000.0,1706,1.1
Bad Seahorse,1,95.2,150000.0,7469,0.15
Bad Vices Games,2,91.2,900000.0,2611,0.9
Bad Viking,2,84.2,1100000.0,2400,1.1
"BadFly Interactive, a.s.",2,73.2,500000.0,3328,0.5
BadMudStudio,1,93.1,1500000.0,920,1.5
Badland Studio,1,17.4,150000.0,7262,0.15
Baggy Cat Ltd.,1,95.3,350000.0,3511,0.35
Baked Games,2,88.2,500000.0,3172,0.5
Balancing Monkey Games,1,78.4,150000.0,7585,0.15
Balcony Softworks,1,80.0,150000.0,7976,0.15
